DIRECCION,SUPERFICIE,PRECIOUSD,PRECIOPESO,DOLARM2,PESOSM2,COTIZACION,TRIMESTRE_,BARRIO,COMUNA_
RIVADAVIA 3500,"190","150000","12000000","790","63158","80",CUARTO,ALMAGRO,"5"
PRINGLES 100,"242","230000","18400000","950","76033","80",CUARTO,ALMAGRO,"5"
"PERON, JUAN DOMINGO, TTE. 3400","211","265000","21200000","1256","100474","80",CUARTO,ALMAGRO,"5"
MEXICO 4000,"320","300000","24000000","938","75000","80",CUARTO,ALMAGRO,"5"
VENEZUELA 4067,"250","305000","24400000","1220","97600","80",CUARTO,ALMAGRO,"5"
"BOCAYUVA, QUINTINO 600","210","310000","24800000","1476","118095","80",CUARTO,ALMAGRO,"5"
LAVALLE 3300,"150","320000","25600000","2133","170667","80",CUARTO,ALMAGRO,"5"
LINIERS VIRREY 300,"820","325000","26000000","396","31707","80",CUARTO,ALMAGRO,"5"
GASCON 700,"136","325000","26000000","2390","191176","80",CUARTO,ALMAGRO,"5"
TREINTA Y TRES ORIENTALES 200,"217","329000","26320000","1516","121290","80",CUARTO,ALMAGRO,"5"
LINIERS VIRREY 600,"310","340000","27200000","1097","87742","80",CUARTO,ALMAGRO,"5"
BOEDO 100,"151","380000","30400000","2517","201324","80",CUARTO,ALMAGRO,"5"
"SALGUERO, JERONIMO 41","352","395000","31600000","1122","89773","80",CUARTO,ALMAGRO,"5"
SANCHEZ DE BUSTAMANTE 800,"243","400000","32000000","1646","131687","80",CUARTO,ALMAGRO,"5"
GALLO 200,"685","420000","33600000","613","49051","80",CUARTO,ALMAGRO,"5"
YAPEYU 200,"296","430000","34400000","1453","116216","80",CUARTO,ALMAGRO,"5"
"CASTRO, BARROS 200","149","440000","35200000","2953","236242","80",CUARTO,ALMAGRO,"5"
"ACUÑA DE FIGUEROA, FRANCISCO 1000","825","450000","36000000","546","43636","80",CUARTO,ALMAGRO,"5"
BELGRANO 3800,"188","450000","36000000","2394","191489","80",CUARTO,ALMAGRO,"5"
QUERANDIES 4200,"234","450000","36000000","1923","153846","80",CUARTO,ALMAGRO,"5"
MEXICO 3400,"300","460000","36800000","1533","122667","80",CUARTO,ALMAGRO,"5"
HUMAHUACA 3800,"1186","4900000","392000000","4132","330523","80",CUARTO,ALMAGRO,"5"
MAZA 700,"162","299000","23920000","1846","147654","80",CUARTO,ALMAGRO,"5"
BULNES 1200,"115","550000","44000000","4783","382609","80",CUARTO,ALMAGRO,"5"
TUCUMAN 3300,"122","260000","20800000","2131","170492","80",CUARTO,BALVANERA,"3"
AGRELO 3200,"270","319000","25520000","1182","94518","80",CUARTO,BALVANERA,"3"
ECUADOR 800,"261","450000","36000000","1724","137931","80",CUARTO,BALVANERA,"3"
CORRIENTES 3400,"1295","12000000","960000000","9266","741313","80",CUARTO,BALVANERA,"3"
MISIONES 190,"104","180000","14400000","1731","138462","80",CUARTO,BALVANERA,"3"
VENEZUELA 3031,"270","228000","18240000","844","67556","80",CUARTO,BALVANERA,"3"
DEAN FUNES 600,"170","230000","18400000","1353","108235","80",CUARTO,BALVANERA,"3"
AGRELO 3000,"150","252000","20160000","1680","134400","80",CUARTO,BALVANERA,"3"
24 DE NOVIEMBRE 300,"187","260000","20800000","1390","111230","80",CUARTO,BALVANERA,"3"
MORENO 2706,"203","270000","21600000","1330","106404","80",CUARTO,BALVANERA,"3"
VENEZUELA 3000,"173","275000","22000000","1590","127168","80",CUARTO,BALVANERA,"3"
DEAN FUNES 500,"247","290000","23200000","1174","93927","80",CUARTO,BALVANERA,"3"
CATAMARCA 589,"198","295000","23600000","1490","119192","80",CUARTO,BALVANERA,"3"
SAAVEDRA 300,"357","300000","24000000","840","67227","80",CUARTO,BALVANERA,"3"
PASCO 200,"141","310000","24800000","2199","175886","80",CUARTO,BALVANERA,"3"
DEAN FUNES 500,"249","310000","24800000","1245","99598","80",CUARTO,BALVANERA,"3"
AGRELO 3200,"270","319000","25520000","1182","94518","80",CUARTO,BALVANERA,"3"
DEAN FUNES 500,"248","340000","27200000","1371","109677","80",CUARTO,BALVANERA,"3"
VENEZUELA 2000,"267","350000","28000000","1311","104869","80",CUARTO,BALVANERA,"3"
DEAN FUNES 522,"248","350000","28000000","1411","112903","80",CUARTO,BALVANERA,"3"
SARMIENTO 3000,"490","350000","28000000","714","57143","80",CUARTO,BALVANERA,"3"
CHILE 2300,"333","385000","30800000","1156","92492","80",CUARTO,BALVANERA,"3"
"YRIGOYEN, HIPOLITO 3131","204","391500","31320000","1919","153529","80",CUARTO,BALVANERA,"3"
MEXICO 3200,"3882","6000000","480000000","1546","123648","80",CUARTO,BALVANERA,"3"
"URQUIZA, Gral. 300","3068","5200000","416000000","1695","135593","80",CUARTO,BALVANERA,"3"
"YRIGOYEN, HIPOLITO 2100","1600","1500000","120000000","938","75000","80",CUARTO,BALVANERA,"3"
CHILE 2300,"333","395000","31600000","1186","94895","80",CUARTO,BALVANERA,"3"
VENEZUELA 2500,"110","398000","31840000","3618","289454","80",CUARTO,BALVANERA,"3"
SOLIS 1800,"220","159000","12720000","723","57818","80",CUARTO,CONSTITUCION,"1"
PAVON 1500,"120","180000","14400000","1500","120000","80",CUARTO,CONSTITUCION,"1"
BRASIL 1764,"1585","2200000","176000000","1388","111041","80",CUARTO,CONSTITUCION,"1"
"SAENZ PENA, LUIS, PRES. 1000","282","320000","25600000","1135","90780","80",CUARTO,CONSTITUCION,"1"
"IRIGOYEN, BERNARDO DE 1500","934","920000","73600000","985","78801","80",CUARTO,CONSTITUCION,"1"
CONSTITUCION 1500,"270","320000","25600000","1185","94815","80",CUARTO,CONSTITUCION,"1"
SAN JOSE 1300,"257","300000","24000000","1167","93385","80",CUARTO,CONSTITUCION,"1"
CIUDADELA 1200,"121","89000","7120000","736","58843","80",CUARTO,CONSTITUCION,"1"
SAN JOSE 1918,"191","114000","9120000","597","47749","80",CUARTO,CONSTITUCION,"1"
"CEVALLOS, VIRREY 1000","239","285000","22800000","1192","95398","80",CUARTO,CONSTITUCION,"1"
"CALVO, CARLOS 1600","275","390000","31200000","1418","113454","80",CUARTO,CONSTITUCION,"1"
"CALVO, CARLOS 900","134","335000","26800000","2500","200000","80",CUARTO,CONSTITUCION,"1"
TACUARI 888,"334","470000","37600000","1407","112575","80",CUARTO,CONSTITUCION,"1"
MORENO 1800,"163","330000","26400000","2024","161963","80",CUARTO,MONTSERRAT,"1"
VENEZUELA 1365,"256","220000","17600000","859","68750","80",CUARTO,MONTSERRAT,"1"
MEXICO 1500,"222","525000","42000000","2365","189189","80",CUARTO,MONTSERRAT,"1"
BELGRANO 964,"1048","3900000","312000000","3721","297710","80",CUARTO,MONTSERRAT,"1"
PIEDRAS 157,"1090","3600000","288000000","3303","264220","80",CUARTO,MONTSERRAT,"1"
ENTRE RIOS 100,"800","1200000","96000000","1500","120000","80",CUARTO,MONTSERRAT,"1"
BOLIVAR 652,"449","550000","44000000","1225","97996","80",CUARTO,MONTSERRAT,"1"
MORENO 900,"2609","6500000","520000000","2491","199310","80",CUARTO,MONTSERRAT,"1"
ALBERTI 1600,"206","180000","14400000","874","69903","80",CUARTO,SAN CRISTOBAL,"3"
CHICLANA 1240,"222","200000","16000000","901","72072","80",CUARTO,SAN CRISTOBAL,"3"
COCHABAMBA 3300,"480","200000","16000000","417","33333","80",CUARTO,SAN CRISTOBAL,"3"
HUMBERTO 1° 2900,"172","209000","16720000","1215","97209","80",CUARTO,SAN CRISTOBAL,"3"
DEAN FUNES 1450,"375","220000","17600000","587","46933","80",CUARTO,SAN CRISTOBAL,"3"
ESTADOS UNIDOS 2400,"104","220000","17600000","2115","169231","80",CUARTO,SAN CRISTOBAL,"3"
PAVON 2300,"167","240000","19200000","1437","114970","80",CUARTO,SAN CRISTOBAL,"3"
SAN JUAN 2414,"1780","3300000","264000000","1854","148315","80",CUARTO,SAN CRISTOBAL,"3"
SAN JUAN 3200,"1273","2490000","199200000","1956","156481","80",CUARTO,SAN CRISTOBAL,"3"
MATHEU 1253,"395","1100000","88000000","2785","222785","80",CUARTO,SAN CRISTOBAL,"3"
VIAMONTE 400,"250","1300000","104000000","5200","416000","80",CUARTO,SAN NICOLAS,"1"
CORDOBA 600,"600","2500000","200000000","4167","333333","80",CUARTO,SAN NICOLAS,"1"
CORDOBA 800,"280","3200000","256000000","11429","914286","80",CUARTO,SAN NICOLAS,"1"
LIBERTAD 52,"531","480000","38400000","904","72316","80",CUARTO,SAN NICOLAS,"1"
"PERON, JUAN DOMINGO, TTE. 1500","237","560000","44800000","2363","189030","80",CUARTO,SAN NICOLAS,"1"
RODRIGUEZ PENA 400,"147","950000","76000000","6463","517007","80",CUARTO,SAN NICOLAS,"1"
SARMIENTO 1600,"258","950000","76000000","3682","294574","80",CUARTO,SAN NICOLAS,"1"
PARANA 100,"346","950000","76000000","2746","219653","80",CUARTO,SAN NICOLAS,"1"
"MITRE, BARTOLOME 848","328","1180000","94400000","3598","287805","80",CUARTO,SAN NICOLAS,"1"
"DELLEPIANE, LUIS 655","1300","9500000","760000000","7308","584615","80",CUARTO,SAN NICOLAS,"1"
ESMERALDA 150,"3100","5000000","400000000","1613","129032","80",CUARTO,SAN NICOLAS,"1"
"MITRE, BARTOLOME 1400","1932","3300000","264000000","1708","136646","80",CUARTO,SAN NICOLAS,"1"
BOLIVAR 1120,"134","440000","35200000","3284","262687","80",CUARTO,SAN TELMO,"1"
CHACABUCO 900,"233","450000","36000000","1931","154506","80",CUARTO,SAN TELMO,"1"
COCHABAMBA 500,"450","480000","38400000","1067","85333","80",CUARTO,SAN TELMO,"1"
COCHABAMBA 600,"326","480000","38400000","1472","117791","80",CUARTO,SAN TELMO,"1"
MONROE 1700,"242","530000","42400000","2190","175207","80",CUARTO,BELGRANO,"13"
SUPERI 2400,"436","600000","48000000","1376","110092","80",CUARTO,BELGRANO,"13"
AMENABAR 1800,"93","630000","50400000","6774","541936","80",CUARTO,BELGRANO,"13"
"PINO, Virrey del 1500","97","670000","53600000","6907","552577","80",CUARTO,BELGRANO,"13"
"RIVERA, PEDRO I., Dr. 2797","126","680000","54400000","5397","431746","80",CUARTO,BELGRANO,"13"
VIDAL 2766,"457","699000","55920000","1530","122363","80",CUARTO,BELGRANO,"13"
MIÑOÑES 2300,"380","730000","58400000","1921","153684","80",CUARTO,BELGRANO,"13"
MONROE 3000,"3600","3900000","312000000","1083","86667","80",CUARTO,BELGRANO,"13"
"BETBEDER, ONOFRE, Alte. 1297","200","329000","26320000","1645","131600","80",CUARTO,BELGRANO,"13"
CONGRESO 1900,"1135","9200000","736000000","8106","648458","80",CUARTO,BELGRANO,"13"
DEL LIBERTADOR 6700,"1154","7000000","560000000","6066","485269","80",CUARTO,BELGRANO,"13"
QUESADA 3160,"294","700000","56000000","2381","190476","80",CUARTO,COGHLAN,"12"
"UGARTE, MANUEL 3300","105","315000","25200000","3000","240000","80",CUARTO,COGHLAN,"12"
SUPERI 2522,"253","330000","26400000","1304","104348","80",CUARTO,COGHLAN,"12"
WASHINGTON 3134,"160","380000","30400000","2375","190000","80",CUARTO,COGHLAN,"12"
"PEREZ, ROQUE 2976","319","420000","33600000","1317","105329","80",CUARTO,COGHLAN,"12"
"PINO, Virrey del 2815","97","499000","39920000","5144","411546","80",CUARTO,COLEGIALES,"13"
DELGADO 1506,"443","330000","26400000","745","59594","80",CUARTO,COLEGIALES,"13"
"ARREDONDO, VIRREY 3200","628","390000","31200000","621","49682","80",CUARTO,COLEGIALES,"13"
DELGADO 600,"172","395000","31600000","2296","183721","80",CUARTO,COLEGIALES,"13"
ZABALA 3401,"177","400000","32000000","2260","180791","80",CUARTO,COLEGIALES,"13"
"AVILES, VIRREY 2700","98","440000","35200000","4490","359184","80",CUARTO,COLEGIALES,"13"
ARCOS 4600,"206","480000","38400000","2330","186408","80",CUARTO,NUÑEZ,"13"
CRAMER 3111,"165","650000","52000000","3939","315152","80",CUARTO,NUÑEZ,"13"
"PAZ, GRAL. 800","172","250000","20000000","1454","116279","80",CUARTO,NUÑEZ,"13"
CORREA 1800,"170","359000","28720000","2112","168941","80",CUARTO,NUÑEZ,"13"
ARCOS 3500,"172","420000","33600000","2442","195349","80",CUARTO,NUÑEZ,"13"
"LARRALDE, CRISOLOGO 3100","147","239000","19120000","1626","130068","80",CUARTO,NUÑEZ,"13"
CABILDO 400,"868","9500000","760000000","10945","875576","80",CUARTO,PALERMO,"14"
CRAMER 398,"288","280000","22400000","972","77778","80",CUARTO,PALERMO,"14"
CABILDO 400,"868","9500000","760000000","10945","875576","80",CUARTO,PALERMO,"14"
PARAGUAY 5400,"30","98000","7840000","3267","261333","80",CUARTO,PALERMO,"14"
DARWIN 1400,"507","370000","29600000","730","58383","80",CUARTO,PALERMO,"14"
THAMES 1300,"120","400000","32000000","3333","266667","80",CUARTO,PALERMO,"14"
GURRUCHAGA 1900,"140","415000","33200000","2964","237143","80",CUARTO,PALERMO,"14"
"CARRANZA, ANGEL JUSTINIANO 1500","143","440000","35200000","3077","246154","80",CUARTO,PALERMO,"14"
DARWIN 1400,"144","450000","36000000","3125","250000","80",CUARTO,PALERMO,"14"
SANTA ROSA 5100,"127","450000","36000000","3543","283465","80",CUARTO,PALERMO,"14"
"SALGUERO, JERONIMO 1400","201","460000","36800000","2289","183085","80",CUARTO,PALERMO,"14"
NICARAGUA 4500,"151","470000","37600000","3113","249007","80",CUARTO,PALERMO,"14"
HUMBOLDT 1400,"81","490000","39200000","6049","483951","80",CUARTO,PALERMO,"14"
GURRUCHAGA 1300,"178","495000","39600000","2781","222472","80",CUARTO,PALERMO,"14"
"CABRERA, JOSE A. 4000","150","500000","40000000","3333","266667","80",CUARTO,PALERMO,"14"
NICARAGUA 4816,"94","500000","40000000","5319","425532","80",CUARTO,PALERMO,"14"
EL SALVADOR 5816,"250","550000","44000000","2200","176000","80",CUARTO,PALERMO,"14"
GASCON 1600,"224","579000","46320000","2585","206786","80",CUARTO,PALERMO,"14"
SORIA 4900,"277","580000","46400000","2094","167509","80",CUARTO,PALERMO,"14"
MASON 4400,"226","589000","47120000","2606","208496","80",CUARTO,PALERMO,"14"
GODOY CRUZ 1800,"251","595000","47600000","2370","189641","80",CUARTO,PALERMO,"14"
ARAOZ 1500,"682","600000","48000000","880","70381","80",CUARTO,PALERMO,"14"
GODOY CRUZ 1700,"170","600000","48000000","3529","282353","80",CUARTO,PALERMO,"14"
EL SALVADOR 4500,"190","600000","48000000","3158","252632","80",CUARTO,PALERMO,"14"
CONVENCION 1900,"209","610000","48800000","2919","233493","80",CUARTO,PALERMO,"14"
BONPLAND 2000,"943","620000","49600000","658","52598","80",CUARTO,PALERMO,"14"
SOLER 4500,"267","620000","49600000","2322","185768","80",CUARTO,PALERMO,"14"
COSTA RICA 5100,"360","645000","51600000","1792","143333","80",CUARTO,PALERMO,"14"
AMENABAR 100,"240","645000","51600000","2688","215000","80",CUARTO,PALERMO,"14"
HONDURAS 5300,"108","650000","52000000","6018","481482","80",CUARTO,PALERMO,"14"
VIDT 1600,"141","680000","54400000","4823","385816","80",CUARTO,PALERMO,"14"
"ACUÑA DE FIGUEROA, FRANCISCO 1775","244","680000","54400000","2787","222951","80",CUARTO,PALERMO,"14"
CABILDO 200,"794","10000000","800000000","12594","1007557","80",CUARTO,PALERMO,"14"
DEL LIBERTADOR 3700,"224","4800000","384000000","21429","1714286","80",CUARTO,PALERMO,"14"
"HUERGO, ING. 1400","1302","6500000","520000000","4992","399386","80",CUARTO,PUERTO MADERO,"1"
"HUERGO, ING. 1400","900","3300000","264000000","3667","293333","80",CUARTO,PUERTO MADERO,"1"
"HUERGO, ING. 1400","1338","6500000","520000000","4858","388640","80",CUARTO,PUERTO MADERO,"1"
"HUERGO, ING. 1400","1853","10200000","816000000","5505","440367","80",CUARTO,PUERTO MADERO,"1"
CHARCAS 3100,"36","124335","9946800","3454","276300","80",CUARTO,RECOLETA,"2"
"ALVEAR, MARCELO T. De 2300","107","220000","17600000","2056","164486","80",CUARTO,RECOLETA,"2"
RODRIGUEZ PENA 1000,"134","620000","49600000","4627","370149","80",CUARTO,RECOLETA,"2"
URIBURU 1000,"108","770000","61600000","7130","570370","80",CUARTO,RECOLETA,"2"
AGUERO 1200,"155","900000","72000000","5806","464516","80",CUARTO,RECOLETA,"2"
JUNCAL 2400,"133","920000","73600000","6917","553384","80",CUARTO,RECOLETA,"2"
ARENALES 2756,"899","1000000","80000000","1112","88988","80",CUARTO,RECOLETA,"2"
AYACUCHO 1400,"950","1200000","96000000","1263","101053","80",CUARTO,RECOLETA,"2"
AYACUCHO 1400,"2000","4000000","320000000","2000","160000","80",CUARTO,RECOLETA,"2"
"QUINTANA, MANUEL, PRES. 500","217","3900000","312000000","17972","1437788","80",CUARTO,RECOLETA,"2"
BASAVILBASO 1200,"2804","10000000","800000000","3566","285307","80",CUARTO,RETIRO,"1"
TRES SARGENTOS 300,"476","1450000","116000000","3046","243698","80",CUARTO,RETIRO,"1"
PARAGUAY 800,"485","1600000","128000000","3299","263918","80",CUARTO,RETIRO,"1"
BASAVILBASO 1200,"2804","10000000","800000000","3566","285307","80",CUARTO,RETIRO,"1"
HELGUERA 3500,"258","420000","33600000","1628","130233","80",CUARTO,AGRONOMIA,"15"
ASUNCION 3000,"338","445000","35600000","1317","105325","80",CUARTO,AGRONOMIA,"15"
TERRADA 3500,"371","450000","36000000","1213","97035","80",CUARTO,AGRONOMIA,"15"
TERRADA 3600,"252","395000","31600000","1568","125397","80",CUARTO,AGRONOMIA,"15"
CHORROARIN 100,"1735","2849000","227920000","1642","131366","80",CUARTO,AGRONOMIA,"15"
"ARANGUREN, JUAN F., Dr. 100","152","400000","32000000","2632","210526","80",CUARTO,CABALLITO,"6"
"ARANGUREN, JUAN F., Dr. 700","123","220000","17600000","1789","143089","80",CUARTO,CABALLITO,"6"
"BELAUSTEGUI, LUIS, Dr. 1200","71","240000","19200000","3380","270422","80",CUARTO,CABALLITO,"6"
"OROÑO, NICASIO 1194","170","250000","20000000","1471","117647","80",CUARTO,CABALLITO,"6"
FRAGATA Pres. SARMIENTO 1400,"229","250000","20000000","1092","87336","80",CUARTO,CABALLITO,"6"
"BELAUSTEGUI, LUIS, Dr. 1200","150","265000","21200000","1767","141333","80",CUARTO,CABALLITO,"6"
"VALLESE, FELIPE 1521","202","289000","23120000","1431","114455","80",CUARTO,CABALLITO,"6"
ORTEGA 1000,"500","290000","23200000","580","46400","80",CUARTO,CABALLITO,"6"
ROJAS 400,"165","300000","24000000","1818","145454","80",CUARTO,CABALLITO,"6"
"REPETTO, NICOLAS, DR. 200","88","310000","24800000","3523","281818","80",CUARTO,CABALLITO,"6"
"GARCIA LORCA, FEDERICO 120","12886","6000000","480000000","466","37250","80",CUARTO,CABALLITO,"6"
DIRECTORIO 64,"6200","4500000","360000000","726","58064","80",CUARTO,CABALLITO,"6"
DOBLAS 900,"692","4000000","320000000","5780","462428","80",CUARTO,CABALLITO,"6"
HIDALGO 600,"1447","3800000","304000000","2626","210090","80",CUARTO,CABALLITO,"6"
DIAZ VELEZ 5200,"1287","3700000","296000000","2875","229992","80",CUARTO,CABALLITO,"6"
COLPAYO 150,"4800","2800000","224000000","583","46667","80",CUARTO,CABALLITO,"6"
RIVADAVIA 5300,"4900","2400000","192000000","490","39184","80",CUARTO,CABALLITO,"6"
RIVADAVIA 6116,"379","2100000","168000000","5541","443272","80",CUARTO,CABALLITO,"6"
ACOYTE 750,"311","2000000","160000000","6431","514470","80",CUARTO,CABALLITO,"6"
"BONIFACIO, JOSE 1400","310","2000000","160000000","6452","516129","80",CUARTO,CABALLITO,"6"
GAONA 1300,"421","1890000","151200000","4489","359145","80",CUARTO,CABALLITO,"6"
DIAZ VELEZ 5100,"523","1600000","128000000","3059","244742","80",CUARTO,CABALLITO,"6"
"FALCON, RAMON L.,CNEL. 1700","695","3260000","260800000","4691","375252","80",CUARTO,CABALLITO,"6"
"BELAUSTEGUI, LUIS, Dr. 1200","150","265000","21200000","1767","141333","80",CUARTO,CABALLITO,"6"
"OROÑO, NICASIO 1500","409","320000","25600000","782","62592","80",CUARTO,CABALLITO,"6"
"FIGUEROA, APOLINARIO, Cnel. 1000","365","350000","28000000","959","76712","80",CUARTO,CABALLITO,"6"
GIRARDOT 100,"93","182900","14632000","1967","157333","80",CUARTO,CHACARITA,"15"
"NEWBERY, JORGE 4300","128","199000","15920000","1555","124375","80",CUARTO,CHACARITA,"15"
LEIVA 4600,"150","220000","17600000","1467","117333","80",CUARTO,CHACARITA,"15"
"DUMONT, SANTOS 4581","170","260000","20800000","1529","122353","80",CUARTO,CHACARITA,"15"
"ARENAL, CONCEPCION 4500","240","330000","26400000","1375","110000","80",CUARTO,CHACARITA,"15"
CESPEDES 3800,"234","380000","30400000","1624","129914","80",CUARTO,CHACARITA,"15"
DORREGO 900,"172","380000","30400000","2209","176744","80",CUARTO,CHACARITA,"15"
BONPLAND 1016,"204","425000","34000000","2083","166667","80",CUARTO,CHACARITA,"15"
ROSETI 1084,"8340","16000000","1280000000","1918","153477","80",CUARTO,CHACARITA,"15"
"NEWBERY, JORGE 4000","669","4600000","368000000","6876","550075","80",CUARTO,CHACARITA,"15"
CORDOBA 6000,"430","3500000","280000000","8140","651163","80",CUARTO,CHACARITA,"15"
DORREGO 1000,"353","3500000","280000000","9915","793201","80",CUARTO,CHACARITA,"15"
GIRIBONE 1200,"198","430000","34400000","2172","173737","80",CUARTO,CHACARITA,"15"
"LORETO, VIRREY 3700","2390","2500000","200000000","1046","83682","80",CUARTO,CHACARITA,"15"
CASTILLO 1486,"177","530000","42400000","2994","239548","80",CUARTO,CHACARITA,"15"
"CARRANZA, ANGEL JUSTINIANO 1200","1500","650000","52000000","433","34667","80",CUARTO,CHACARITA,"15"
CORDOBA 5600,"6600","6500000","520000000","985","78788","80",CUARTO,CHACARITA,"15"
CORDOBA 5500,"147","950000","76000000","6463","517007","80",CUARTO,CHACARITA,"15"
LA PLATA 1800,"142","180000","14400000","1268","101408","80",CUARTO,PARQUE CHACABUCO,"7"
SARAZA 502,"12722","14095998","1127679840","1108","88640","80",CUARTO,PARQUE CHACABUCO,"7"
SENILLOSA 1197,"124","280000","22400000","2258","180645","80",CUARTO,PARQUE CHACABUCO,"7"
PUAN 1700,"77","68000","5440000","883","70649","80",CUARTO,PARQUE CHACABUCO,"7"
ZANARTU 1700,"151","95000","7600000","629","50331","80",CUARTO,PARQUE CHACABUCO,"7"
CACHIMAYO 1900,"173","120000","9600000","694","55491","80",CUARTO,PARQUE CHACABUCO,"7"
EL ARTESANO 1100,"110","120000","9600000","1091","87273","80",CUARTO,PARQUE CHACABUCO,"7"
PUAN 1800,"205","129000","10320000","629","50342","80",CUARTO,PARQUE CHACABUCO,"7"
ZANARTU 1700,"151","130000","10400000","861","68874","80",CUARTO,PARQUE CHACABUCO,"7"
BALBASTRO 2061,"300","170000","13600000","567","45333","80",CUARTO,PARQUE CHACABUCO,"7"
ZUVIRIA 1900,"2800","2300000","184000000","821","65714","80",CUARTO,PARQUE CHACABUCO,"7"
ASAMBLEA 1600,"382","1200000","96000000","3141","251309","80",CUARTO,PARQUE CHACABUCO,"7"
DE LOS CONSTITUYENTES 3600,"252","575000","46000000","2282","182540","80",CUARTO,PARQUE CHAS,"15"
DEL TEMPLE 2700,"156","327000","26160000","2096","167692","80",CUARTO,PARQUE CHAS,"15"
BAUNESS 1000,"190","330000","26400000","1737","138947","80",CUARTO,PARQUE CHAS,"15"
CAMPILLO 2800,"193","390000","31200000","2021","161658","80",CUARTO,PARQUE CHAS,"15"
AVALOS 1100,"286","390000","31200000","1364","109091","80",CUARTO,PARQUE CHAS,"15"
ARISMENDI 2600,"299","445000","35600000","1488","119064","80",CUARTO,PARQUE CHAS,"15"
ARISMENDI 2700,"375","449000","35920000","1197","95787","80",CUARTO,PARQUE CHAS,"15"
BUCARELLI 1200,"262","450000","36000000","1718","137405","80",CUARTO,PARQUE CHAS,"15"
BARZANA 1000,"216","460000","36800000","2130","170370","80",CUARTO,PARQUE CHAS,"15"
BARZANA 1200,"704","1500000","120000000","2131","170454","80",CUARTO,PARQUE CHAS,"15"
LLERENA 3100,"420","649000","51920000","1545","123619","80",CUARTO,PARQUE CHAS,"15"
ARISMENDI 2400,"818","365000","29200000","446","35697","80",CUARTO,PARQUE CHAS,"15"
ANDONAEGUI 1229,"256","399000","31920000","1559","124688","80",CUARTO,PARQUE CHAS,"15"
COMBATIENTES DE MALVINAS 3000,"3700","8000000","640000000","2162","172973","80",CUARTO,PARQUE CHAS,"15"
CAMPILLO 2600,"204","235000","18800000","1152","92157","80",CUARTO,PARQUE CHAS,"15"
DE LOS CONSTITUYENTES 3000,"258","205000","16400000","795","63566","80",CUARTO,PATERNAL,"15"
ESPINOSA 3100,"194","315000","25200000","1624","129897","80",CUARTO,PATERNAL,"15"
CUCHA CUCHA 2658,"144","150000","12000000","1042","83333","80",CUARTO,PATERNAL,"15"
ELCANO 5000,"119","175000","14000000","1471","117647","80",CUARTO,PATERNAL,"15"
ESPINOSA 2885,"126","185000","14800000","1468","117460","80",CUARTO,PATERNAL,"15"
FRAGATA Pres. SARMIENTO 2200,"123","230000","18400000","1870","149594","80",CUARTO,PATERNAL,"15"
MANZANARES 3100,"171","400000","32000000","2339","187134","80",CUARTO,SAAVEDRA,"12"
VIDAL 4700,"148","340000","27200000","2297","183784","80",CUARTO,SAAVEDRA,"12"
"NAON, ROMULO 4000","225","360000","28800000","1600","128000","80",CUARTO,SAAVEDRA,"12"
MACHAIN 4898,"107","180000","14400000","1682","134579","80",CUARTO,SAAVEDRA,"12"
CORREA 3500,"150","195000","15600000","1300","104000","80",CUARTO,SAAVEDRA,"12"
PICO 4600,"130","210000","16800000","1615","129231","80",CUARTO,SAAVEDRA,"12"
CHAJARI 4600,"162","210000","16800000","1296","103704","80",CUARTO,SAAVEDRA,"12"
TRONADOR 4700,"265","218000","17440000","823","65811","80",CUARTO,SAAVEDRA,"12"
PICO 4600,"130","239000","19120000","1838","147077","80",CUARTO,SAAVEDRA,"12"
ARIAS 3200,"147","240000","19200000","1633","130612","80",CUARTO,SAAVEDRA,"12"
BESARES 4100,"150","265000","21200000","1767","141333","80",CUARTO,SAAVEDRA,"12"
MACHAIN 4600,"210","270000","21600000","1286","102857","80",CUARTO,SAAVEDRA,"12"
JARAMILLO 4581,"252","280000","22400000","1111","88889","80",CUARTO,SAAVEDRA,"12"
LUGONES 3672,"224","290000","23200000","1295","103571","80",CUARTO,SAAVEDRA,"12"
DORREGO 200,"190","390000","31200000","2053","164210","80",CUARTO,VILLA CRESPO,"15"
GODOY CRUZ 1200,"216","460000","36800000","2130","170370","80",CUARTO,VILLA CRESPO,"15"
FITZ ROY 300,"237","480000","38400000","2025","162025","80",CUARTO,VILLA CRESPO,"15"
DARWIN 1100,"150","540000","43200000","3600","288000","80",CUARTO,VILLA CRESPO,"15"
"JUSTO, JUAN B. 1900","61","195000","15600000","3197","255738","80",CUARTO,VILLA CRESPO,"15"
ROJAS 1474,"111","198000","15840000","1784","142703","80",CUARTO,VILLA CRESPO,"15"
"JUSTO, JUAN B. 1900","62","198000","15840000","3194","255484","80",CUARTO,VILLA CRESPO,"15"
MARTINEZ ROSAS 1300,"97","205000","16400000","2113","169072","80",CUARTO,VILLA CRESPO,"15"
DARWIN 300,"81","220000","17600000","2716","217284","80",CUARTO,VILLA CRESPO,"15"
SUNCHALES 721,"170","250000","20000000","1471","117647","80",CUARTO,VILLA CRESPO,"15"
OLAYA 1400,"90","250000","20000000","2778","222222","80",CUARTO,VILLA CRESPO,"15"
HUMBOLDT 200,"164","250000","20000000","1524","121951","80",CUARTO,VILLA CRESPO,"15"
"VIRASORO, VALENTIN 1900","183","260000","20800000","1421","113661","80",CUARTO,VILLA CRESPO,"15"
